freelancer_id,hours_worked_per_week,experience_years,skills_count,average_rating,completed_projects,client_return_rate,hourly_rate,region,income_generated
110,29,3.5,3,3.29,106,0.75,20.34,Asia,2466.29
111,11,1.2,12,3.8,33,0.81,101.58,South America,3682.27
112,13,0.2,8,3.3,67,0.25,35.5,Africa,2043.18
113,28,1.4,2,4.26,142,0.54,128.91,Europe,15778.05
114,5,8.7,6,4.25,161,0.53,48.36,Europe,927.69
115,48,3.1,10,4.03,42,0.42,128.68,South America,18886.82
116,12,3.3,12,4.7,193,0.23,69.77,Europe,2220.13
117,28,3.0,10,4.05,95,0.7,93.51,Asia,6973.45
118,15,0.7,10,4.19,47,0.25,120.54,North America,7926.58
119,55,1.6,3,3.75,35,0.91,15.66,Asia,1743.19
120,21,4.2,10,3.05,117,0.53,124.96,Oceania,8809.55
121,12,0.3,9,4.13,160,0.87,29.41,North America,1116.94
122,39,1.0,19,4.06,183,0.29,60.18,Europe,10679.97
123,39,1.0,14,5.0,182,0.81,76.19,Africa,10688.71
124,37,1.7,2,4.53,76,0.11,135.36,North America,23899.26
125,9,11.8,5,3.99,179,0.77,13.14,Asia,328.11
126,46,0.2,8,4.27,187,0.39,88.29,Asia,17883.8
127,43,2.2,7,4.65,142,0.47,99.95,Oceania,11715.65
128,45,0.6,6,4.46,146,0.17,54.32,Asia,7321.13
129,32,10.6,11,5.0,128,0.02,50.67,Oceania,4363.85
130,11,0.4,12,3.81,55,0.67,78.67,Asia,3098.07
131,13,1.6,18,4.69,98,0.59,36.19,South America,1622.87
132,12,4.0,19,3.99,184,0.62,75.54,Europe,2463.92
133,16,3.7,10,4.3,108,0.26,117.1,Africa,4910.63
134,38,1.6,14,3.92,49,0.24,128.36,Oceania,18688.04
135,37,1.3,3,4.13,188,0.83,63.92,South America,6930.94
136,52,1.5,18,4.31,113,0.76,96.42,Europe,17810.49
137,59,0.9,15,4.5,181,0.34,10.0,Oceania,1237.39
138,27,0.7,6,4.23,199,0.64,87.05,North America,9406.95
139,28,2.0,10,2.96,134,0.83,146.53,South America,15193.05
140,41,0.9,12,4.16,70,0.89,53.72,Oceania,8798.67
141,39,1.0,7,4.94,86,0.01,93.27,South America,11079.82
142,48,3.2,17,4.16,136,0.81,116.72,South America,17258.29
143,44,10.4,1,4.95,143,0.35,95.25,South America,18048.35
144,26,2.8,18,4.14,154,0.72,68.59,North America,7611.77
145,31,0.2,15,3.41,39,0.37,31.36,Asia,3794.6
146,39,0.2,19,3.98,131,0.61,74.92,South America,11283.14
147,5,9.1,1,3.92,185,0.65,51.27,Europe,574.03
148,39,1.1,5,4.09,10,0.4,107.43,Asia,18743.09
149,41,0.3,15,3.61,3,0.51,71.87,North America,12411.79
150,51,2.7,3,4.2,46,0.73,128.98,Africa,24723.32
151,18,2.9,1,4.04,150,0.48,37.07,North America,3131.63
152,7,3.1,8,4.84,67,0.01,68.48,Africa,1267.81
153,5,0.9,12,3.59,193,0.01,88.05,Europe,1918.09
154,9,0.0,19,4.32,97,0.66,27.64,Africa,1180.12
155,30,10.1,12,4.41,19,0.85,92.31,Oceania,8835.92
156,59,0.9,13,4.59,62,0.79,50.73,South America,7797.03
157,18,3.4,1,4.02,98,0.31,42.14,Asia,3414.65
158,43,3.7,19,4.31,57,0.47,29.87,Oceania,3033.96
159,31,2.8,6,4.38,95,0.23,58.98,Asia,8301.52
160,13,1.1,8,3.38,107,0.99,140.06,South America,4639.42
161,19,0.9,4,4.04,88,0.26,14.34,Asia,1134.43
162,19,2.7,5,4.18,141,0.42,129.3,North America,7806.47
163,30,6.0,7,4.24,144,0.68,65.63,South America,5897.1
164,46,8.8,4,4.24,144,0.88,88.62,South America,18110.84
165,17,0.3,4,4.42,115,0.05,81.79,Asia,5823.85
166,55,0.5,15,5.0,119,0.3,139.6,Oceania,24349.24
167,36,8.7,5,3.9,52,0.57,117.82,Africa,12931.53
168,43,4.0,9,4.39,41,0.62,147.88,Europe,26535.59
169,53,6.4,2,4.85,48,0.07,121.22,Africa,28492.15
170,56,0.7,7,3.3,91,0.66,51.42,North America,12062.38
171,36,2.7,17,4.33,39,0.53,144.8,South America,20478.84
172,8,3.6,16,3.36,13,0.83,147.7,South America,3680.3
173,34,3.4,17,5.0,132,0.22,27.23,North America,4104.35
174,41,1.6,2,4.46,96,0.2,136.15,Europe,23298.06
175,27,0.0,11,4.39,109,0.79,102.99,South America,10200.57
176,43,2.6,2,3.26,104,0.7,139.08,Africa,21512.4
177,49,0.9,1,3.95,98,0.79,138.2,North America,25476.06
178,19,1.8,2,3.95,43,0.78,134.79,South America,11141.62
179,47,9.5,9,5.0,88,0.1,133.94,Africa,26012.8
180,33,1.5,2,4.56,93,0.28,26.47,North America,3957.39
181,40,5.5,15,3.37,174,0.26,30.09,North America,4382.8
182,17,0.6,10,4.43,126,0.93,26.49,North America,1986.01
183,36,3.3,15,3.45,109,0.49,22.74,Europe,3270.05
184,11,11.3,10,3.39,47,0.11,59.46,North America,1791.77
185,55,0.3,17,4.43,92,0.29,105.75,Oceania,20382.68
186,26,0.0,9,4.57,181,0.87,59.66,Asia,6139.25
187,32,1.7,18,4.43,153,0.85,110.84,Asia,16447.58
188,6,0.3,4,5.0,41,0.9,124.84,North America,2116.51
189,46,4.1,9,4.38,3,0.39,103.27,South America,13671.67
190,49,7.4,16,4.29,121,0.64,75.11,Asia,10730.98
191,57,1.7,4,3.59,77,0.28,51.37,Africa,9493.85
192,10,0.9,16,4.63,95,0.18,27.42,Africa,970.27
193,32,1.7,19,3.37,13,0.02,79.11,South America,9636.08
194,32,3.9,1,5.0,105,0.22,110.74,Africa,16006.14
195,48,0.0,6,4.64,18,0.6,86.75,Oceania,16165.11
196,48,2.7,10,5.0,37,0.9,111.01,South America,16192.77
197,24,2.9,16,4.39,171,0.13,56.93,Africa,6516.85
198,34,3.0,4,4.66,162,0.92,19.35,North America,2800.36
199,15,0.8,13,4.06,55,0.35,117.95,Africa,5306.54
200,59,3.8,16,4.18,52,0.43,40.76,North America,7976.99
201,32,0.3,6,3.67,36,0.36,96.28,Africa,13301.75
202,29,0.7,11,3.48,182,0.41,122.6,Africa,14485.71
203,43,6.3,3,4.29,187,0.26,29.48,Africa,4701.33
204,37,4.0,10,4.18,114,0.7,93.79,North America,9698.21
205,5,0.0,1,3.66,52,0.76,106.51,Africa,2135.43
206,31,0.9,11,3.75,19,0.82,114.51,Africa,11170.75
207,56,0.7,12,4.22,140,0.34,30.67,Oceania,7534.0
208,17,0.9,14,3.65,92,0.76,125.52,Europe,8672.14
209,45,0.9,8,4.38,139,0.64,23.18,North America,3352.21
210,7,0.2,11,3.67,48,0.96,82.74,Oceania,1741.97
211,43,1.8,4,4.33,101,0.42,72.08,Asia,8572.01
212,10,4.0,7,3.62,99,0.99,41.05,South America,1175.29
213,12,2.8,10,3.63,144,0.74,52.27,Europe,2083.58
214,31,3.4,19,3.02,199,0.78,33.02,Oceania,3654.44
215,13,0.3,4,4.12,47,0.03,69.6,Oceania,3485.38
216,41,9.1,2,4.93,67,0.5,14.97,Africa,2242.28
217,37,5.5,18,4.9,31,0.53,134.45,Asia,19739.27
218,55,4.9,14,4.36,76,0.04,32.89,Asia,7810.95
219,46,5.2,16,3.2,8,0.31,134.04,Africa,28800.41
220,48,8.1,11,4.62,189,0.96,130.9,Oceania,18736.81
221,28,2.4,10,4.31,44,0.43,73.23,Oceania,7613.81
222,19,0.7,17,4.0,178,0.19,79.68,Africa,3384.83
223,58,2.9,14,4.8,35,0.51,52.27,Europe,7922.55
224,36,4.1,4,4.51,189,0.03,149.56,North America,21489.64
225,36,4.0,19,5.0,183,0.52,103.91,Europe,13293.6
226,28,2.2,2,3.5,194,0.59,143.25,North America,16811.66
227,45,0.2,7,3.54,14,0.36,68.07,Asia,10336.28
228,56,1.4,9,3.62,110,0.76,133.62,South America,20415.97
229,53,7.6,19,4.06,4,0.14,72.75,Africa,17257.39
230,53,2.6,16,4.99,145,0.88,131.36,Europe,18006.95
231,56,2.3,16,3.89,112,0.96,28.33,Asia,4725.94
232,16,0.9,18,3.9,69,0.0,99.16,Europe,5174.8
233,43,1.4,11,4.41,152,0.84,105.02,Oceania,21402.2
234,6,6.8,7,4.62,49,0.51,101.86,North America,2313.86
235,7,3.3,9,3.08,55,0.46,72.58,Africa,1809.0
236,53,4.6,4,4.72,199,0.24,105.75,Oceania,23988.54
237,41,1.8,13,3.87,151,0.45,43.52,North America,7138.85
238,53,3.0,4,4.15,81,0.95,93.42,Oceania,21885.65
239,21,0.9,19,4.91,140,0.21,87.59,North America,6574.39
240,53,3.7,2,4.09,139,0.18,54.57,North America,13823.14
241,6,1.7,9,3.43,115,0.24,119.04,Oceania,2860.76
242,6,1.8,12,3.46,75,0.55,21.32,Asia,201.67
243,32,3.1,2,4.19,98,0.93,34.0,Africa,4022.96
244,58,8.3,6,4.03,127,0.57,75.96,South America,20635.27
245,27,0.2,5,4.23,111,0.24,134.84,Europe,14916.29
246,41,5.2,5,4.0,101,0.44,90.52,North America,14411.15
247,36,1.0,5,4.82,114,0.39,127.89,Africa,19095.72
248,37,1.8,4,4.21,29,0.05,82.46,Europe,11323.08
249,5,0.1,9,3.32,62,0.51,119.96,Africa,1750.66
250,23,1.1,10,4.61,53,0.13,55.61,Oceania,4279.72
251,6,2.1,16,5.0,117,0.84,124.12,Europe,2870.22
252,57,0.2,10,4.28,176,0.55,66.24,Africa,9317.52
253,48,2.0,10,4.32,91,0.84,88.24,South America,14576.74
254,30,7.9,19,3.81,106,0.96,34.62,Africa,4506.53
255,36,0.3,10,4.08,86,0.94,138.86,Africa,13786.09
256,10,4.3,6,4.45,128,0.1,108.2,North America,2789.29
257,36,1.6,17,4.77,194,0.94,130.24,North America,20614.47
258,59,3.2,5,4.42,100,0.8,39.1,North America,9243.21
259,8,0.9,6,5.0,176,0.78,19.48,Oceania,-131.08
260,59,0.5,15,4.25,94,0.09,57.21,Africa,14602.42
261,15,0.5,19,3.64,187,0.18,82.34,South America,4964.94
262,21,0.2,18,3.65,199,0.98,122.33,Europe,7854.71
263,42,0.6,4,4.82,185,0.21,65.68,North America,9259.27
264,28,3.3,8,4.7,76,0.17,47.79,Asia,3685.8
265,9,6.4,16,3.38,3,0.36,62.16,Africa,2273.33
266,56,5.0,19,4.1,81,0.91,108.51,South America,22210.67
267,38,3.5,3,4.11,105,0.48,57.07,South America,7955.18
268,10,0.4,10,3.82,32,0.92,147.08,North America,6810.29
269,26,1.0,2,3.49,8,0.33,34.5,Oceania,2224.21
270,15,1.1,4,3.81,87,0.23,115.43,North America,4351.58
271,52,0.9,6,3.72,30,0.5,92.48,Oceania,13204.5
272,20,2.2,11,3.51,143,0.62,42.63,Asia,1965.01
273,37,2.3,14,4.61,74,0.39,115.51,Asia,17184.14
274,13,1.3,16,4.34,183,0.35,72.66,North America,3934.6
275,10,1.3,19,3.97,123,0.22,105.54,Europe,3205.89
276,20,5.3,2,3.16,121,0.28,102.72,North America,5661.38
277,33,4.7,17,4.05,38,0.67,25.49,North America,2451.49
278,7,1.1,9,4.46,143,0.37,127.6,South America,4250.4
279,24,7.4,17,3.83,158,0.08,105.41,North America,10161.92
280,40,9.2,15,3.63,174,0.14,119.28,North America,17971.36
281,23,1.2,7,4.14,192,0.37,72.69,North America,5243.74
282,30,1.3,19,4.37,154,0.92,37.31,Europe,3722.69
283,7,2.1,3,3.2,115,0.38,55.67,South America,1044.84
284,23,8.5,1,4.88,109,0.06,136.21,Africa,15344.93
285,24,6.3,4,3.58,78,0.42,141.32,Africa,14342.43
286,36,0.3,18,3.99,195,0.67,77.46,Africa,11145.49
287,11,1.5,8,4.79,36,0.59,51.83,Africa,2172.67
288,56,2.4,19,4.26,90,0.28,112.24,South America,22659.11
289,45,2.1,6,4.75,159,0.69,117.24,North America,15618.44
290,37,0.6,1,4.98,40,0.63,124.17,Africa,13650.5
291,44,5.9,8,3.47,74,0.17,14.35,North America,2216.88
292,43,3.4,1,4.65,46,0.16,11.36,Africa,1082.53
293,22,5.5,19,4.86,107,0.55,60.0,Europe,3201.29
294,44,5.9,11,4.01,170,0.66,31.35,North America,5237.95
295,5,4.1,15,4.05,146,0.96,122.7,South America,2711.15
296,15,1.7,11,3.24,100,0.42,84.6,Oceania,6159.45
297,32,2.8,19,4.59,164,0.76,125.55,Europe,9970.45
298,29,0.5,10,2.93,178,0.12,34.77,Oceania,2573.06
299,54,3.4,12,4.68,61,0.89,97.81,Europe,19592.54
300,27,0.6,1,3.49,168,0.63,91.22,South America,10950.12
301,35,3.6,7,4.9,3,0.63,57.65,Europe,9402.61
302,34,0.8,17,4.4,82,0.14,82.39,North America,12686.72
303,46,0.4,10,4.7,7,0.04,92.46,Asia,17127.07
304,39,0.5,6,3.79,31,0.7,134.53,Asia,15347.21
305,11,0.0,17,3.53,65,0.12,17.79,Africa,602.42
306,20,3.8,18,3.32,95,0.13,125.27,Africa,6043.33
307,30,4.0,5,4.75,64,0.19,147.22,North America,16938.37
308,52,2.2,18,4.53,77,0.1,112.45,South America,14450.73
309,56,0.5,17,4.55,3,0.63,113.23,North America,26434.26
310,53,0.3,16,4.35,93,0.42,40.52,Africa,8772.39
311,6,0.1,8,4.47,35,0.27,83.23,Europe,1437.61
312,5,0.5,13,4.05,15,0.44,108.83,Oceania,2590.53
313,52,6.6,16,4.39,21,0.84,94.32,North America,17830.61
314,16,0.8,11,3.77,62,0.93,63.92,North America,4807.05
315,9,1.3,6,4.03,83,0.49,141.62,South America,5582.78
316,41,0.3,3,5.0,156,0.57,81.96,Africa,9793.75
317,36,0.8,1,4.22,4,0.26,145.78,North America,17562.71
318,59,2.2,18,3.21,141,0.51,88.94,Europe,14344.47
319,13,2.8,5,4.0,179,0.75,121.07,Oceania,6809.91
320,45,0.8,13,3.67,176,0.49,113.88,Europe,18630.72
321,39,0.2,10,4.28,167,0.3,102.52,Asia,18718.13
322,23,1.5,5,3.76,67,0.58,12.02,Africa,950.02
323,52,0.8,14,4.09,94,0.95,20.84,Europe,4632.66
324,20,0.7,17,3.83,58,0.89,91.41,South America,8413.55
325,7,9.6,1,4.3,130,0.77,137.65,Oceania,3877.72
326,24,2.9,2,3.89,25,0.28,94.16,Africa,5787.43
327,28,2.4,7,4.38,11,0.24,43.04,Europe,4624.63
328,58,1.6,10,5.0,1,0.84,54.83,North America,9185.14
329,37,1.7,7,3.62,48,0.18,97.24,Africa,8924.1
330,28,2.3,16,4.56,113,0.61,93.59,Europe,8413.61
331,56,3.6,5,2.97,176,0.44,143.8,North America,24563.05
332,15,3.6,12,4.08,138,0.47,84.07,Asia,5112.43
333,53,0.6,17,4.31,81,0.45,59.7,Oceania,10742.72
334,12,2.1,16,3.83,30,0.9,83.5,Africa,4146.47
335,40,1.6,16,3.31,163,0.09,120.07,Africa,12009.31
336,42,6.1,19,4.18,114,0.78,85.65,Europe,8590.48
337,44,3.0,15,4.97,19,0.84,55.65,Asia,5866.43
338,24,2.3,12,4.13,110,0.94,57.41,South America,3986.68
339,39,0.4,10,4.48,181,0.45,115.95,Europe,14918.94
340,52,2.8,2,4.76,34,0.5,19.3,Europe,3771.17
341,29,0.4,7,5.0,32,0.96,48.47,South America,6538.6
342,39,1.2,13,3.67,76,0.46,31.43,South America,4058.57
343,29,0.5,3,3.73,126,0.5,142.25,South America,10741.62
344,33,3.5,15,4.05,134,0.33,22.61,Oceania,2471.56
345,22,0.7,1,4.51,141,0.03,116.15,South America,11580.32
346,50,1.5,3,3.04,86,0.43,98.26,South America,19821.85
347,22,6.8,10,4.53,75,0.66,98.59,North America,9266.41
348,6,0.7,15,4.27,192,0.69,116.88,North America,2234.35
349,58,2.1,6,3.93,135,0.01,66.07,South America,10644.16
350,39,1.6,15,4.41,45,0.8,66.1,Oceania,6958.56
351,20,0.1,7,4.64,173,0.49,50.42,Oceania,4401.24
352,45,4.7,5,4.71,65,0.52,93.69,Asia,12425.48
353,40,0.2,4,4.21,94,0.96,140.17,Oceania,22563.3
354,37,1.9,18,4.36,19,0.28,139.36,Asia,18734.27
355,8,2.5,3,4.34,119,0.76,108.41,South America,2820.55
356,37,3.0,17,4.82,47,0.57,136.87,Oceania,14324.16
357,18,3.5,18,4.39,46,0.7,144.89,North America,10247.91
358,25,0.9,18,4.52,29,0.42,121.31,Asia,7561.17
359,52,0.0,2,4.65,100,0.28,67.1,North America,16965.61
360,24,3.9,13,5.0,189,0.55,77.65,Europe,4474.01
361,12,2.3,15,3.91,65,0.37,140.38,North America,4210.84
362,11,5.4,5,5.0,151,0.22,103.8,South America,3500.47
363,7,5.2,3,5.0,128,0.84,124.9,Oceania,3999.13
364,21,5.6,5,3.94,51,0.48,26.26,Oceania,1491.8
365,37,2.0,5,4.09,191,0.85,37.15,Africa,4808.83
366,52,1.2,5,3.99,22,0.47,58.18,South America,7086.7
367,16,4.7,3,4.53,110,0.56,36.35,Europe,1400.22
368,55,1.8,3,3.27,71,1.0,136.91,Oceania,29391.91
369,26,0.6,18,3.95,33,0.95,40.36,North America,3363.12
370,59,5.8,4,4.06,127,0.27,88.01,Asia,21248.95
371,26,6.4,1,4.02,109,0.87,21.96,South America,2534.77
372,50,1.9,16,4.01,100,0.39,31.69,Oceania,6910.6
373,34,0.2,8,3.96,44,0.07,44.64,Asia,4169.81
374,42,1.5,17,4.59,7,0.58,147.61,North America,21689.78
375,42,4.9,8,4.47,128,0.98,121.59,Oceania,23867.44
376,49,7.0,7,5.0,91,0.97,104.3,Europe,21897.13
377,55,0.7,8,4.59,130,0.13,138.28,South America,20199.15
378,58,0.2,12,3.65,17,0.77,143.87,Asia,30602.54
379,12,6.3,16,4.11,65,0.8,73.5,Oceania,4394.25
380,31,1.5,12,4.06,186,0.37,55.88,South America,5824.53
381,31,2.3,19,4.33,110,0.66,54.14,Oceania,7422.66
382,38,10.3,10,4.75,30,0.49,15.0,South America,1926.55
383,25,0.2,7,4.29,92,0.23,49.15,Asia,3391.22
384,34,3.1,12,4.29,154,0.76,59.71,Europe,5574.89
385,37,0.2,5,4.21,163,0.26,15.17,South America,1033.63
386,32,1.4,16,4.61,191,0.34,133.56,Europe,12076.64
387,51,4.9,9,3.92,75,0.19,128.7,Europe,30095.17
388,37,1.7,7,3.47,199,0.72,45.21,North America,6581.19
389,9,17.6,14,4.52,156,0.46,122.36,Oceania,4550.16
390,52,2.5,11,4.39,153,0.44,121.47,Asia,24717.34
391,23,1.2,7,4.86,189,0.6,56.9,North America,4542.94
392,8,0.7,10,2.99,105,0.16,107.59,Africa,2495.89
393,39,1.3,9,4.15,31,0.9,50.58,Oceania,8683.21
394,53,1.4,4,4.25,182,0.47,19.84,North America,3662.28
395,21,0.2,16,3.44,195,0.37,80.67,South America,5593.01
396,48,1.4,10,4.16,97,0.13,71.37,South America,16131.7
397,32,1.9,19,4.79,51,0.17,29.34,South America,3133.84
398,34,3.8,17,5.0,58,0.92,78.68,Africa,11913.26
399,33,3.2,9,4.69,34,0.46,142.91,Europe,21333.97
400,50,3.7,13,4.04,187,0.72,112.4,South America,16619.71
401,57,0.0,1,4.83,21,0.08,113.44,Oceania,16814.74
402,10,0.7,2,4.66,184,0.64,116.06,Oceania,5743.55
403,39,3.3,13,3.96,37,0.92,114.25,North America,15598.48
404,45,2.0,9,3.91,64,0.3,12.79,Europe,1567.7
405,41,0.0,7,4.12,147,0.58,139.46,North America,20557.37
406,28,4.9,16,3.67,124,0.94,126.22,North America,13673.27
407,33,4.4,19,4.04,101,0.72,48.44,South America,6575.56
408,53,2.4,7,4.44,119,0.06,87.38,North America,21437.27
409,50,0.2,6,4.72,85,0.38,96.1,Africa,21996.08
410,57,4.4,18,4.01,78,0.09,28.47,Oceania,7291.38
411,35,2.6,19,4.89,181,0.86,45.55,Oceania,3882.13
412,39,4.6,11,4.53,199,0.62,13.26,Oceania,2068.22
413,37,4.2,12,4.55,191,0.96,130.95,Europe,14509.6
414,56,4.9,10,3.74,104,0.02,13.49,South America,1829.29
415,25,2.2,13,5.0,190,0.42,54.62,South America,5934.49
416,36,0.5,12,4.48,72,0.1,20.95,North America,2292.92
417,27,3.3,10,4.03,103,0.35,119.4,North America,14437.77
418,37,2.9,18,3.95,77,0.16,139.5,Asia,12814.42
419,7,4.1,4,4.04,110,0.33,88.79,Asia,2692.04
420,22,0.6,5,3.69,19,0.82,29.54,South America,2027.58
421,29,0.7,5,4.69,130,0.16,88.14,South America,7163.92
422,46,6.6,12,3.74,134,0.47,117.85,North America,19113.59
423,35,4.2,3,4.34,157,0.92,110.58,Africa,12822.85
